accuracy,recall,precision,f1_score,vectorizer,model
0.7216098983147265,0.6311594984668084,0.6845664561378824,0.6451757381770606,tfidf,Logistic Regression
0.7563819953068336,0.6921921319814889,0.7134494236232176,0.7005693587073099,tfidf,Random Forest
0.7199032923273839,0.6226246322863705,0.6964986409381012,0.641750565037904,tfidf,XGBoost
0.7079570504159852,0.5841432810885233,0.699120114466794,0.5945439372134601,tfidf,SGD
0.6370617933584584,0.5716764171488874,0.5736215127701789,0.5723019730936615,tfidf,KNN
0.7282229965156795,0.6457416404466442,0.6811259625030304,0.6570606123209086,bow,Logistic Regression
0.7573064068833109,0.6950775463966347,0.7139761057582166,0.7027474298860935,bow,Random Forest
0.7160634288558629,0.6185757987568365,0.6858561123054977,0.6364150524134439,bow,XGBoost
0.724952001706606,0.6286223066221286,0.6846879857474106,0.642109024768435,bow,SGD
0.6564744364644812,0.5872751005207991,0.6014768359558348,0.5885741039761078,bow,KNN
